"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test","Creating store and verifying the creation.","SUCCESS","2023-06-06T01:09:58.099+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","Getting store information by id.","SUCCESS","2023-06-06T01:09:58.159+01:00[Europe/London]","0.0","0.03"
"Stores CRUD test","Updating store information by id.","SUCCESS","2023-06-06T01:09:58.187+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","Deleting the store and verifying the deletion.","SUCCESS","2023-06-06T01:09:58.261+01:00[Europe/London]","0.0","0.05"
